,EURUSD,USDJPY,GBPUSD,USDCHF,AUDUSD,USDCAD,NZDUSD,CHFJPY,EURJPY,EURAUD,GBPAUD,CADJPY,NZDJPY,EURCAD,GBPCAD,USDTRY,USDINR,USDBRL,USDZAR,USDSEK
EURUSD,1.0,-0.4485172535271565,0.6390078439606107,-0.773104892846266,0.5763728375550689,-0.4601914035513024,0.5942249821263662,0.20723030322077274,0.3697939543560772,0.19358593755155035,0.021907847290088468,-0.07590755054257928,0.18209782273794317,0.5558660970209202,0.31645251276753045,-0.1469617582706139,-0.26129857973905574,-0.22306528146559856,-0.3047572937819106,-0.7619689514200848
USDJPY,-0.4485172535271565,1.0,-0.2741915704276477,0.5652732020846354,-0.28737900469759303,0.1728565396778132,-0.3577479132524329,0.6267752400812454,0.65962601684777,-0.048948946982280236,0.03876268193817912,0.7571876478359917,0.4936439623315324,-0.28582593587420707,-0.15929648919174538,0.026363471710493046,0.07171344790088696,0.09437855663402166,0.1032616506675785,0.3264602834071557
GBPUSD,0.6390078439606107,-0.2741915704276477,1.0,-0.4977247259051667,0.581137175617111,-0.4799002356643657,0.5794448825042962,0.15410083490201676,0.2505929980470782,-0.13358933088126715,0.39266377463723434,0.08454799240906657,0.3112726113406076,0.18002001531982992,0.7023834432346743,-0.11379535392231879,-0.263412707638912,-0.21104082693497594,-0.3020015405882116,-0.595572377346218
USDCHF,-0.773104892846266,0.5652732020846354,-0.4977247259051667,1.0,-0.446056414957998,0.3484721731129606,-0.4919270036818608,-0.28106726979996427,-0.05928989139265441,-0.1549758116502448,-0.02286078814685595,0.24027721254412568,0.00522328547988069,-0.42958896619512693,-0.24348764877638765,0.07780704350097432,0.1752218476175503,0.1488856576880368,0.20322851564493274,0.5904811331397317
AUDUSD,0.5763728375550689,-0.28737900469759303,0.581137175617111,-0.446056414957998,1.0,-0.6806873981006887,0.8533830689264097,0.08914629245513458,0.1840632084930482,-0.6822126216590652,-0.5179274511171741,0.20906653064810127,0.5478697983509494,-0.07647489913366194,0.0733556240779401,-0.1753944336415585,-0.29749831516076003,-0.3585953923747174,-0.4145545990439054,-0.6298473471341771
USDCAD,-0.4601914035513024,0.1728565396778132,-0.4799002356643657,0.3484721731129606,-0.6806873981006887,1.0,-0.6029373980968585,-0.1447613223479873,-0.21011223614971122,0.428516851817937,0.2726778365356583,-0.4824968243079356,-0.41622489080715813,0.47153691458250835,0.2691315104919274,0.16015154586828334,0.2986908361404197,0.31997284286372174,0.37454726269469024,0.525208811937897
NZDUSD,0.5942249821263662,-0.3577479132524329,0.5794448825042962,-0.4919270036818608,0.8533830689264097,-0.6029373980968585,1.0,0.049631368245029894,0.1271388188017947,-0.4914440083203038,-0.35443115586305796,0.09745329202498358,0.6269232798891773,0.016114221321861192,0.13484096189027764,-0.16455051610791638,-0.2809294485697458,-0.3256105128834152,-0.38332554892310516,-0.6324376864004895
CHFJPY,0.20723030322077274,0.6267752400812454,0.15410083490201676,-0.28106726979996427,0.08914629245513458,-0.1447613223479873,0.049631368245029894,1.0,0.8239270011637986,0.07745308036887537,0.06390370099964272,0.6524943211099421,0.5696780263824104,0.062828399014057,0.04459934225575299,-0.04161379879568368,-0.08193243189351214,-0.03026466776232124,-0.07316476278370804,-0.18022562435344683
EURJPY,0.3697939543560772,0.65962601684777,0.2505929980470782,-0.05928989139265441,0.1840632084930482,-0.21011223614971122,0.1271388188017947,0.8239270011637986,1.0,0.10841698561605383,0.05765425933967803,0.720305989529036,0.6665710689165044,0.16635361710752428,0.09969296182939327,-0.09539019894925668,-0.14480727292232687,-0.08947732244471743,-0.14864925719469174,-0.3007903746597224
EURAUD,0.19358593755155035,-0.048948946982280236,-0.13358933088126715,-0.1549758116502448,-0.6822126216590652,0.428516851817937,-0.4914440083203038,0.07745308036887537,0.10841698561605383,1.0,0.6359769399867757,-0.3101171178608676,-0.49121138375911,0.5944714683613087,0.18979752589175253,0.08064643768889473,0.12821884109002962,0.23107954127215832,0.23122940865468228,0.08456873106728754
GBPAUD,0.021907847290088468,0.03876268193817912,0.39266377463723434,-0.02286078814685595,-0.5179274511171741,0.2726778365356583,-0.35443115586305796,0.06390370099964272,0.05765425933967803,0.6359769399867757,1.0,-0.14351423411616626,-0.2883476501120987,0.2809121783575517,0.6535960982457352,0.0783247852768951,0.0591250686279236,0.18261165778508273,0.15260103441182504,0.087073117191451
CADJPY,-0.07590755054257928,0.7571876478359917,0.08454799240906657,0.24027721254412568,0.20906653064810127,-0.4824968243079356,0.09745329202498358,0.6524943211099421,0.720305989529036,-0.3101171178608676,-0.14351423411616626,1.0,0.715672324562179,-0.5471504861571335,-0.3178846413832626,-0.08534373633037363,-0.13638218407282188,-0.13249855428050555,-0.15453379612551138,-0.06461208083832798
NZDJPY,0.18209782273794317,0.4936439623315324,0.3112726113406076,0.00522328547988069,0.5478697983509494,-0.41622489080715813,0.6269232798891773,0.5696780263824104,0.6665710689165044,-0.49121138375911,-0.2883476501120987,0.715672324562179,1.0,-0.21921610016537102,-0.005738025789264093,-0.13155566634298527,-0.20287085943046418,-0.2234424451708228,-0.2691353390094769,-0.31237053472043647
EURCAD,0.5558660970209202,-0.28582593587420707,0.18002001531982992,-0.42958896619512693,-0.07647489913366194,0.47153691458250835,0.016114221321861192,0.062828399014057,0.16635361710752428,0.5944714683613087,0.2809121783575517,-0.5471504861571335,-0.21921610016537102,1.0,0.5737743846567885,0.007828487388103758,0.02404713915749163,0.08272356236289076,0.048911119707647215,-0.264408617302185
GBPCAD,0.31645251276753045,-0.15929648919174538,0.7023834432346743,-0.24348764877638765,0.0733556240779401,0.2691315104919274,0.13484096189027764,0.04459934225575299,0.09969296182939327,0.18979752589175253,0.6535960982457352,-0.3178846413832626,-0.005738025789264093,0.5737743846567885,1.0,0.009231662269047052,-0.04266895744886229,0.03303641873116744,-0.026757338120859817,-0.22474359011967596
USDTRY,-0.1469617582706139,0.026363471710493046,-0.11379535392231879,0.07780704350097432,-0.1753944336415585,0.16015154586828334,-0.16455051610791638,-0.04161379879568368,-0.09539019894925668,0.08064643768889473,0.0783247852768951,-0.08534373633037363,-0.13155566634298527,0.007828487388103758,0.009231662269047052,1.0,0.12532654353668626,0.12355816800137837,0.19096803556808356,0.15011290542964204
USDINR,-0.26129857973905574,0.07171344790088696,-0.263412707638912,0.1752218476175503,-0.29749831516076003,0.2986908361404197,-0.2809294485697458,-0.08193243189351214,-0.14480727292232687,0.12821884109002962,0.0591250686279236,-0.13638218407282188,-0.20287085943046418,0.02404713915749163,-0.04266895744886229,0.12532654353668626,1.0,0.25082548061095167,0.24937963170155428,0.2973724148398426
