,Volatilité (Ann.),Semi-Déviation (Downside),EWMA Vol (Actuelle),Ratio Symétrie
USDZAR,0.20551069239664602,0.14735297009406617,0.05323541150951368,1.39468306791138
USDTRY,0.179937952605324,0.1515195387033574,0.009941697203537896,1.187556100983146
USDBRL,0.16399087859190453,0.10687566468282493,0.14629454311246426,1.5344080345940352
NZDJPY,0.10835957337980014,0.07514247583929097,0.06908496885953183,1.4420548720214035
CADJPY,0.10379848342671212,0.0706965017124503,0.06557192032942485,1.468226587065089
USDSEK,0.10168328807217271,0.06487492409369847,0.054621285995979874,1.5673742897226692
NZDUSD,0.10151479896753622,0.06669415420867143,0.0668414110563051,1.5220944050046517
AUDUSD,0.0993752480001514,0.06820581070775365,0.05439401051693547,1.4569909362407798
GBPUSD,0.09241698015739433,0.0693009037680729,0.04934528285627097,1.3335609657658039
USDJPY,0.09050193330047396,0.06553115299480528,0.06935845027185658,1.3810520518027227
GBPAUD,0.08825694749784525,0.061609601319076265,0.04867288570931225,1.432519373737907
EURJPY,0.08700613917288547,0.06264528569736208,0.053899422380769405,1.3888697003188732
GBPCAD,0.08399057071778948,0.06082981227622454,0.045372818816082926,1.380746834075261
EURAUD,0.08327060594336166,0.05284730840470305,0.04564611799289989,1.5756830093536258
CHFJPY,0.07785870714310784,0.05566319427287835,0.05809227013239584,1.3987466612393848
USDCHF,0.07384501609159748,0.05364357799157015,0.051339844796195196,1.3765863288090494
EURUSD,0.07319961283751267,0.04731046756370684,0.035798332191963704,1.547218123324279
EURCAD,0.0730086122254069,0.04878972659088904,0.03716287665043636,1.4963931410724585
USDCAD,0.07009800249020172,0.048896604761975375,0.03735316960458948,1.43359652130108
USDINR,0.058339938657371776,0.039094530031743936,0.052340345414417136,1.4922788075467583
