,Volatilité (Ann),Semi-Déviation,EWMA (Actuelle),Ratio Symétrie,VaR Hist 95%,VaR Param,VaR MonteCarlo,CVaR,Rendement (Ann),Ratio Sharpe,Ratio Sortino,Beta (vs Strategy),Skewness,Kurtosis,Max Drawdown,Ratio Calmar
USDJPY=X,0.09348470528924806,0.06849991112699422,0.07521750575981624,1.364741993838995,-0.008971627470568695,-0.009324492223469278,-0.009410778133377734,-0.013748690205540705,0.0912297078435138,0.9758784344588011,1.3318222803877813,-0.19181333772329506,-0.2859981229565197,3.3109596249106756,-0.14251512611707648,0.6401405263366107
EURJPY=X,0.08640298472747267,0.05922459056849055,0.05897561615430192,1.4589038758748623,-0.008269872286999895,-0.008621024894736588,-0.008453111283898026,-0.012016836069447695,0.08359095645164555,0.9674545007363269,1.411423120856807,-0.2898102902290393,-0.21936557413769722,2.6326540569952037,-0.10380651148771153,0.8052573509470158
USDTRY=X,0.1694027303837037,0.1464949020053655,0.010515264495262288,1.1563728707603709,-0.007989520127240395,-0.017011284771960802,-0.016925004368250392,-0.020243371030664255,0.13647189888755126,0.805606253089529,0.9315812155876446,0.09654867730036713,-1.7943628770776685,91.06615456415183,-0.35080287500735274,0.3890273102370978
AUDJPY=X,0.11453130144928196,0.08236160166738964,0.07838579184454994,1.3905909930188942,-0.011122897110135498,-0.011576029658080356,-0.011379630312823703,-0.016087263747435934,0.07339503656702964,0.6408294993446072,0.891131729849418,-0.3260795417763397,-0.3728736066933038,4.749970978785183,-0.19423510309947797,0.37786700444893423
USDCAD=X,0.06856501399052417,0.047209842589642524,0.03931772976444768,1.4523457446470454,-0.006663859490556899,-0.006954879557977548,-0.006863689906973224,-0.009398008581741243,0.03768801346588443,0.5496682822976305,0.7983083907624146,0.17638839843912424,-0.015368946239114669,4.455124856708163,-0.15401614449353115,0.24470170701791177
USDSGD=X,0.04645942089820843,0.03040290015453452,0.02923691366763181,1.5281246414671108,-0.0046232447157628954,-0.004730242767967879,-0.00481421490562705,-0.006463339266031127,0.021091997296081962,0.4539875204706934,0.693749516949821,0.042117723541672605,-0.008310370836680939,1.7301968007608348,-0.08596425492915757,0.2453577631012297
NZDJPY=X,0.10838903812086104,0.07417316112219824,0.07557919562335658,1.4612972735824632,-0.0108410748413943,-0.011067900341397544,-0.011162167975719508,-0.015372776138741035,0.04106150115713867,0.37883444552162504,0.5535897423798748,-0.2732721071705597,-0.15409613248851897,2.2464063637712526,-0.18532688226316105,0.22156257449381808
USDNOK=X,0.28393257780620673,0.1928866268491223,0.06273863182462643,1.4720179539885956,-0.012459951061858,-0.029082442681029295,-0.029388431844353663,-0.022924658438868862,0.08505664976070368,0.2995663633172718,0.4409670652140948,1.0344436143817448,13.32468042484559,498.68971847529815,-0.3415386918641876,0.24903957234375756
STRATEGY,0.06681143539943486,0.0514431063046953,0.048404177323380385,1.298744189429651,-0.005829870631998999,-0.006845587712887691,-0.006796858684836035,-0.009202460692451472,0.019441443750978542,0.29098976297615947,0.37792126384879854,1.0,0.5830353103866521,25.728882584278217,-0.12765995725712725,0.15229085273638635
USDSEK=X,0.1103108413839109,0.07019478430685218,0.058495343433166376,1.571496265330681,-0.0107896308030844,-0.011307358844239999,-0.011083606949537283,-0.014776149190529383,0.030898628211422953,0.2801050905222231,0.4401841036557859,0.2131831448803395,0.11789992880190173,1.7854383125467006,-0.20945188711719706,0.1475213646279247
USDZAR=X,0.228643809732397,0.17465189496343234,0.054466816129545195,1.3091401600896984,-0.0142067980933192,-0.023608871178195497,-0.023595943357300718,-0.023674781103400513,0.0207382742585292,0.0907012277428421,0.11874061980759651,1.5059138681506252,2.0501515470037974,106.98753808750736,-0.35195174016378034,0.05892363040705145
USDCHF=X,0.07847489216343037,0.05798949018624605,0.05336689757320272,1.35326059793578,-0.007623457761720096,-0.00811067706597438,-0.008213138975388225,-0.011313282466995709,0.005186267029337104,0.06608823390972338,0.08943460293719194,-0.03514559208301756,-0.5639476027938267,4.707637926241587,-0.13419966842356415,0.038645900472481697
GBPUSD=X,0.08871846409712826,0.06394986969791243,0.05169821004855717,1.3873126640635576,-0.009359021854667087,-0.00918193638287181,-0.009212794763551387,-0.012815501902278429,0.002701303238402809,0.03044803881461974,0.042240949843420715,-0.11686295045701241,-0.3157142030209174,5.491408291094869,-0.2535387379605309,0.010654400428637177
EURGBP=X,0.08907066917336234,0.06915929662828618,0.03267543666668098,1.2879059434640403,-0.005792220848128395,-0.00923621875141407,-0.009050539162341793,-0.009509004076145985,-0.0017813417113888587,-0.0199991953346814,-0.025757082536034485,-0.12219156276896258,1.8655918158231801,196.05149359755015,-0.17721814355401616,-0.010051689266488141
EURUSD=X,0.07493171674956792,0.0491951651228358,0.03783103560897875,1.5231520528993105,-0.007368091425765298,-0.007780694222881338,-0.007864982761674619,-0.010317966530106937,-0.004174766624465017,-0.055714279687701006,-0.08486131948212815,-0.09000483887322942,0.05976113795769642,2.377540081320407,-0.242939237680031,-0.017184406538574448
AUDUSD=X,0.10683515387321196,0.07367936610148666,0.057053459452140576,1.4500009911330698,-0.011031314130913296,-0.011126480541029295,-0.011244277696951376,-0.014873418052979374,-0.014274556531945051,-0.1336129168577374,-0.19373886187189968,-0.16081094449766237,-0.2652641547920154,3.810521069565006,-0.2915311444589137,-0.04896408772530581
USDMXN=X,0.1287819001705141,0.07626360269357736,0.05036205377507211,1.6886417061616161,-0.011814432615794391,-0.013565407990391734,-0.013517980339721639,-0.01672035266803596,-0.055827473599164915,-0.4335040368657891,-0.7320329964409942,0.21725334960359866,0.9147447364323358,5.48443716760281,-0.49341893514145296,-0.11314416537979098
