Pair,CT_Signal,MT_Signal,LT_Signal,Combined,Direction,Confiance,Sizing,Hurst,Regime,abs_combined
AUDJPY,+0.000,-0.037,+0.196,+0.044,FLAT,4%,1.1%,0.320,BULL,0.044
AUDUSD,+0.000,-0.015,+0.068,+0.014,FLAT,1%,0.4%,0.315,BULL,0.014
EURGBP,+0.000,-0.049,-0.046,-0.034,FLAT,3%,0.8%,0.383,NEUTRAL,0.034
EURJPY,+0.000,+0.067,+0.140,+0.069,LONG,7%,1.7%,0.300,NEUTRAL,0.069
EURUSD,+0.000,+0.101,+0.010,+0.043,FLAT,4%,1.1%,0.420,BULL,0.043
GBPUSD,+0.000,+0.141,+0.057,+0.073,LONG,7%,1.8%,0.433,NEUTRAL,0.073
NZDJPY,+0.000,+0.034,+0.188,+0.070,LONG,7%,1.7%,0.313,NEUTRAL,0.07
NZDUSD,+0.000,+0.216,+0.063,+0.105,LONG,11%,2.6%,0.426,BULL,0.105
USDCAD,+0.000,-0.017,+0.027,+0.001,FLAT,0%,0.0%,0.461,NEUTRAL,0.001
USDCHF,+0.000,+0.007,-0.005,+0.001,FLAT,0%,0.0%,0.421,BEAR,0.001
USDJPY,+0.000,-0.062,+0.128,+0.014,FLAT,1%,0.3%,0.387,BEAR,0.014
USDMXN,+0.000,+0.151,-0.184,+0.005,FLAT,1%,0.1%,0.340,BEAR,0.005
USDNOK,+0.000,-0.262,-0.110,-0.138,SHORT,14%,3.4%,0.406,BEAR,0.138
USDSEK,+0.000,-0.068,+0.025,-0.020,FLAT,2%,0.5%,0.375,BEAR,0.02
USDTRY,-0.032,-0.028,-0.290,-0.108,SHORT,11%,2.7%,0.437,BULL,0.108
USDZAR,+0.000,+0.011,-0.212,-0.059,SHORT,6%,1.5%,0.329,BEAR,0.059
