Annee,Fenetre_Lookback,Jours_Entrainement,Levier,Capital_Fin,Performance
2020,2 Mois,42,1,1129691.2261994318,0.12969122619943185
2020,2 Mois,42,2,1194319.4157959227,0.1943194157959227
2020,2 Mois,42,3,1228221.7228432542,0.22822172284325415
2020,2 Mois,42,4,1202292.494132934,0.20229249413293382
2020,2 Mois,42,5,1216227.4479075891,0.2162274479075892
2020,2 Mois,42,6,1217305.5488629153,0.2173055488629152
2020,2 Mois,42,7,1211584.9711166772,0.21158497111667707
2020,2 Mois,42,8,1224743.2297600692,0.2247432297600691
2020,2 Mois,42,9,1262265.0288980554,0.2622650288980555
2020,2 Mois,42,10,1287050.3933495693,0.2870503933495694
2020,2 Mois,42,11,1256909.2372790999,0.2569092372791
2020,2 Mois,42,12,1216980.661246726,0.216980661246726
2020,2 Mois,42,13,1132739.6160799824,0.1327396160799823
2020,2 Mois,42,14,1056008.7978317614,0.05600879783176138
2020,2 Mois,42,15,1004388.7332848721,0.004388733284872215
2020,3 Mois,63,1,976892.5218362776,-0.023107478163722384
2020,3 Mois,63,2,941422.2260824553,-0.058577773917544707
2020,3 Mois,63,3,885523.2906188678,-0.11447670938113219
2020,3 Mois,63,4,827547.2555100609,-0.17245274448993908
2020,3 Mois,63,5,742946.1856117828,-0.25705381438821717
2020,3 Mois,63,6,695368.0159555952,-0.30463198404440484
2020,3 Mois,63,7,677649.8662370414,-0.3223501337629586
2020,3 Mois,63,8,672734.825527912,-0.327265174472088
2020,3 Mois,63,9,662202.2955269621,-0.3377977044730378
2020,3 Mois,63,10,627578.1835809333,-0.3724218164190668
2020,3 Mois,63,11,591782.1055860784,-0.40821789441392164
2020,3 Mois,63,12,565387.2844285821,-0.4346127155714179
2020,3 Mois,63,13,531635.8701974186,-0.46836412980258135
2020,3 Mois,63,14,495973.98901387095,-0.504026010986129
2020,3 Mois,63,15,462265.1462009055,-0.5377348537990945
2020,6 Mois,126,1,854409.3009721463,-0.1455906990278537
2020,6 Mois,126,2,752140.035591226,-0.247859964408774
2020,6 Mois,126,3,679472.9624525656,-0.3205270375474345
2020,6 Mois,126,4,625121.0883661195,-0.37487891163388043
2020,6 Mois,126,5,578810.19277398,-0.42118980722602006
2020,6 Mois,126,6,526674.2197069146,-0.47332578029308536
2020,6 Mois,126,7,476592.6865580155,-0.5234073134419845
2020,6 Mois,126,8,424435.82792312343,-0.5755641720768765
2020,6 Mois,126,9,374492.32711769687,-0.6255076728823031
2020,6 Mois,126,10,333546.6477294553,-0.6664533522705447
2020,6 Mois,126,11,302579.9177227989,-0.6974200822772011
2020,6 Mois,126,12,273635.2855471388,-0.7263647144528612
2020,6 Mois,126,13,248140.69482120345,-0.7518593051787965
2020,6 Mois,126,14,248338.5545569231,-0.7516614454430769
2020,6 Mois,126,15,250620.15222731946,-0.7493798477726805
2020,1 An,252,1,860686.1455991497,-0.1393138544008502
